Player,Year1,Year2,Year3,Year4,Year5,Retire,NextPercentile
Dennis Pitta,0.1012956419316843,0.3286924939467312,0.4003623188405797,0.4104254044337927,0.1890280262373285,0,0.0528189910979228
Brian Moorman,0.2446380697050938,0.2827058072750478,0.3331273176761434,0.2676829268292683,0.1874244256348246,0,0.100181050090525
Brandon Pettigrew,0.2272727272727272,0.2815076560659599,0.3631961259079903,0.392512077294686,0.4218094667465548,0,0.3369111508646392
Erin Henderson,0.5450721153846154,0.5508373205741627,0.598939929328622,0.7318401937046005,0.8375603864734299,0,0.9364889155182744
Darren Fells,0.1282051282051282,0.0694362017804154,0.1196480938416422,0.1226635514018691,0.2609467455621301,0,0.2975551580202743
Derrick Burroughs,0.1534195933456562,0.4209558823529412,0.6889880952380952,0.4924528301886792,0.3039399624765478,1,
Corey Webster,0.6178960096735188,0.7579963789981895,0.8266825491363907,0.9020432692307692,0.8755980861244019,0,0.8975265017667845
Kellen Winslow,0.28002414001207,0.3299583085169744,0.3485576923076923,0.3325358851674641,0.2703180212014134,0,0.2905569007263922
Jason Baker,0.3217158176943699,0.2807913209955329,0.3868974042027194,0.3231707317073171,0.3724304715840387,0,0.2957151478575739
K.J. Wright,0.6277239709443099,0.7904589371980676,0.8520071899340923,0.8813357185450209,0.8712166172106824,0,0.918475073313783
Reggie Walker,0.4706937799043062,0.5200235571260307,0.5538740920096852,0.5422705314009661,0.701617735170761,0,0.6970781156827669
Walt Harris,0.4836488812392427,0.8442211055276382,0.9527687296416938,0.8892355694227769,0.9088235294117648,0,0.8840482573726541
Jason Brown,0.1436330718165359,0.289458010720667,0.2950721153846153,0.2805023923444976,0.1472320376914016,0,0.2487893462469733
Jason Hatcher,0.5691007845503923,0.7391304347826086,0.7572115384615384,0.7589712918660287,0.6855123674911661,0,0.7911622276029056
Dannell Ellerbe,0.6495215311004785,0.7037691401648999,0.7076271186440678,0.7741545893719807,0.8723786698621929,0,0.8700059630292188
Randy Starks,0.6957317073170731,0.772067714631197,0.8509354254677127,0.7718880285884455,0.7734375,0,0.8175837320574163
Rashard Robinson,0.5741935483870968,0.719626168224299,0.7461538461538462,0.6833631484794276,0.5553613053613053,0,0.4749856239217941
Kelvin Hayden,0.5066505441354293,0.6578153289076645,0.8385944014294223,0.9362980769230768,0.9318181818181818,0,0.9393404004711424
Jarius Wynn,0.2446172248803828,0.5076560659599529,0.6216707021791767,0.6624396135265701,0.6878370281605752,0,0.6756112104949314
Fred Jackson,0.2253605769230769,0.3145933014354067,0.408716136631331,0.3795399515738499,0.4202898550724637,0,0.372079089275015
Anthony Thomas,0.3217158176943699,0.3822590938098277,0.3868974042027194,0.2963414634146341,0.1045949214026602,0,0.2661436330718165
Larry Griffin,0.3110119047619047,0.4339622641509434,0.5834896810506567,0.7467166979362101,0.6960600375234521,0,0.775092936802974
Chris Hairston,0.1068840579710145,0.0575194727381665,0.0524746571258199,0.0409495548961424,0.1008797653958944,1,
Marquice Cole,0.40311004784689,0.696113074204947,0.7130750605326877,0.751207729468599,0.6938286399041342,1,
Tim Green,0.3497023809523809,0.4264150943396226,0.6172607879924953,0.6716697936210131,0.7673545966228893,0,0.7230483271375465
Fernando Bryant,0.374414976599064,0.7264705882352941,0.7855227882037533,0.7587747287811104,0.7571075401730532,0,0.7701219512195122
Antonio London,0.1347248576850095,0.1398865784499054,0.552901023890785,0.6729776247848537,0.7755443886097152,1,
Austin Ekeler,0.4859813084112149,0.5118343195266272,0.4991055456171735,0.3939393939393939,0.0983323749281196,0,0.2756563245823389
Gerald Nichols,0.3645833333333333,0.3886792452830189,0.5891181988742964,0.5572232645403377,0.5853658536585366,1,
Moe Williams,0.4985294117647059,0.5033512064343163,0.5315890236119974,0.4604449938195303,0.4670731707317073,0,0.439540507859734
Lawrence Tynes,0.0975609756097561,0.1590084643288996,0.2607121303560651,0.240023823704586,0.2103365384615384,0,0.2117224880382775
Bruce Miller,0.3765133171912833,0.483695652173913,0.5080886758538047,0.4633273703041144,0.4385756676557863,0,0.419941348973607
Anthony Weaver,0.6943203573707721,0.8467243510506799,0.9097560975609756,0.8688029020556227,0.8153289076644539,0,0.7617629541393687
Eric Steinbach,0.0797280593325092,0.3396341463414634,0.3730350665054414,0.4127942063971032,0.3466349017272185,1,
Antonio Smith,0.56590084643289,0.7175618587809294,0.8546754020250149,0.9254807692307692,0.9383971291866028,0,0.9240282685512368
Bruce Smith,0.4140480591497227,0.7775735294117647,0.988095238095238,0.9886792452830188,0.9774859287054408,0,1.0
Brooks Reed,0.7021791767554479,0.7795893719806763,0.8406231276213302,0.815742397137746,0.7632047477744807,0,0.7794721407624633
Beasley Reece,0.0905923344947735,0.4356435643564356,0.803680981595092,0.8784403669724771,0.9405940594059404,0,0.8243243243243243
