Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Year16,Year17,Retire,NextPercentile
Josh Mccown,0.108433734939759,0.180722891566265,0.4941176470588235,0.6091954022988506,0.4831460674157303,0.3617021276595745,0.1333333333333333,0.2289156626506024,0.0465116279069767,0.1875,0.1621621621621621,0.5142857142857142,0.4864864864864865,0.684931506849315,0.4861111111111111,0.6164383561643836,0.5147058823529411,0,0.5774647887323944
Peyton Manning,0.348314606741573,0.797752808988764,1.0,0.975609756097561,0.9759036144578314,1.0,1.0,1.0,1.0,0.9893617021276596,1.0,0.9759036144578314,0.9651162790697676,0.825,0.8378378378378378,0.8857142857142857,0.9864864864864864,0,0.9315068493150684
Philip Rivers,0.2352941176470588,0.3448275862068966,0.6853932584269663,0.7659574468085106,0.9444444444444444,0.963855421686747,1.0,0.9625,0.8513513513513513,0.8428571428571429,0.7432432432432432,0.8356164383561644,0.7777777777777778,0.8356164383561644,0.8823529411764706,0.8450704225352113,0.8732394366197183,1,
Vince Evans,0.0158730158730158,0.1846153846153846,0.4153846153846154,0.6811594202898551,0.7183098591549296,0.380281690140845,0.4567901234567901,0.2619047619047619,0.2317073170731707,0.0705882352941176,0.515625,0.2352941176470588,0.6951219512195121,0.7848101265822784,0.9342105263157896,0.9,0.7341772151898734,0,0.7654320987654321
Randall Cunningham,0.1707317073170731,0.3294117647058823,0.765625,0.8235294117647058,0.8536585365853658,0.9240506329113924,0.7631578947368421,0.8375,0.6708860759493671,0.8148148148148148,0.75,0.4111111111111111,0.3555555555555555,0.7752808988764045,0.9213483146067416,0.9666666666666668,0.7317073170731707,1,
Rich Gannon,0.1015625,0.188235294117647,0.2439024390243902,0.5569620253164557,0.7105263157894737,0.9125,0.8734177215189873,0.3703703703703703,0.4318181818181818,0.5444444444444444,0.7555555555555555,0.8651685393258427,0.898876404494382,0.9888888888888888,0.9634146341463414,0.9879518072289156,0.9518072289156626,0,0.8588235294117647
Wade Wilson,0.0422535211267605,0.0704225352112676,0.2222222222222222,0.2738095238095238,0.4512195121951219,0.5411764705882353,0.875,0.8941176470588236,0.8902439024390244,0.8481012658227848,0.6578947368421053,0.8,0.8227848101265823,0.7901234567901234,0.6136363636363636,0.5333333333333333,0.5111111111111111,0,0.550561797752809
Matt Schaub,0.1764705882352941,0.4827586206896552,0.7191011235955056,0.851063829787234,0.8,0.9036144578313252,0.9418604651162792,0.925,0.9054054054054054,0.7285714285714285,0.5405405405405406,0.4657534246575342,0.4027777777777778,0.3150684931506849,0.25,0.380281690140845,0.2957746478873239,1,
Ryan Fitzpatrick,0.1724137931034483,0.1910112359550561,0.1595744680851064,0.1777777777777777,0.3132530120481928,0.6395348837209303,0.725,0.7702702702702703,0.8142857142857143,0.8783783783783784,0.8767123287671232,0.7638888888888888,0.7397260273972602,0.7205882352941176,0.7887323943661971,0.8028169014084507,0.6486486486486487,1,
Ben Roethlisberger,0.3176470588235294,0.7586206896551724,0.8764044943820225,0.925531914893617,0.7888888888888889,0.8433734939759037,0.8604651162790697,0.9125,0.918918918918919,0.8714285714285714,0.9054054054054054,0.9041095890410958,0.9166666666666666,0.9178082191780822,0.9558823529411764,0.8873239436619719,0.8873239436619719,0,0.8243243243243243
Chris Chandler,0.1529411764705882,0.4878048780487805,0.6962025316455697,0.5131578947368421,0.575,0.4810126582278481,0.7407407407407407,0.7386363636363636,0.7888888888888889,0.7333333333333333,0.898876404494382,0.9101123595505618,0.8111111111111111,0.5975609756097561,0.5301204819277109,0.5180722891566265,0.4588235294117647,1,
Mark Brunell,0.0617283950617283,0.3522727272727273,0.7333333333333333,0.9444444444444444,0.9438202247191012,0.9775280898876404,0.9111111111111112,0.8536585365853658,0.8313253012048193,0.7469879518072289,0.7058823529411765,0.7126436781609196,0.7752808988764045,0.6276595744680851,0.2555555555555555,0.108433734939759,0.3488372093023256,0,0.55
Vinny Testaverde,0.28125,0.2117647058823529,0.5365853658536586,0.5822784810126582,0.5394736842105263,0.5875,0.759493670886076,0.9506172839506172,0.9545454545454546,0.9777777777777776,0.9666666666666668,0.9775280898876404,0.8764044943820225,0.9,0.6585365853658537,0.6987951807228916,0.6746987951807228,0,0.7411764705882353
Tom Brady,0.1111111111111111,0.3780487804878049,0.5421686746987951,0.8433734939759037,0.8470588235294118,0.9770114942528736,0.9775280898876404,1.0,0.9777777777777776,0.9879518072289156,0.9534883720930232,0.9875,0.9864864864864864,0.9714285714285714,0.945945945945946,0.9726027397260274,0.9722222222222222,0,0.9863013698630136
Steve Deberg,0.1538461538461538,0.6,0.8405797101449275,0.7887323943661971,0.6901408450704225,0.7530864197530864,0.8095238095238095,0.8292682926829268,0.7176470588235294,0.7890625,0.7294117647058823,0.7926829268292683,0.8987341772151899,0.868421052631579,0.825,0.6329113924050633,0.345679012345679,0,0.2159090909090909
Kerry Collins,0.1136363636363636,0.4222222222222222,0.5555555555555556,0.6067415730337079,0.4831460674157303,0.7666666666666667,0.7926829268292683,0.8192771084337349,0.7228915662650602,0.7647058823529411,0.7816091954022989,0.6966292134831461,0.7127659574468085,0.7,0.7228915662650602,0.686046511627907,0.5625,1,
