PLAYER,YEARS_REVEALED,EXTRA POINT RATIO,FIELD GOALS MADE,POINTS,FIELD GOAL RATIO,0-19,20-29,30-39,40-49,50-59,60,Long,Field Goals Blocked,HOWGOOD RAW SCORE,PERCENTILE,ACTUAL_REMAINING_SEASONS,PREDICTED_REMAINING_SEASONS,RETIREMENT_DIFFERENCE,MEAN_PERCENTILE_DIFFERENCE
Adam Vinatieri,3,2.572,0.7630471380471381,0.7494991451377744,2.1475555555555554,0.6666666666666666,0.6333333333333333,0.5776014109347443,0.8809523809523808,1.5,0.0,2.019230769230769,0.0,12.509886399858365,0.468975468975469,21,7,-14,-0.08512711952550912
Adam Vinatieri,4,3.477777777777778,1.0307239057239057,0.9979119750177176,2.8915555555555557,0.8888888888888888,0.8666666666666667,0.7037037037037037,1.2107583774250439,2.1666666666666665,0.0,2.7051282051282053,-0.16666666666666666,16.773115055887466,0.7448107448107448,20,5,-15,-0.019099146660122246
Adam Vinatieri,5,3.939111111111111,1.1919191919191918,1.1196571492580425,3.2328888888888887,1.0,0.9717948717948718,0.7557319223985891,1.4016754850088182,2.1666666666666665,0.0,3.0707642031171445,-0.3888888888888889,18.461320601274437,0.8717948717948718,19,5,-14,-0.024935056781746658
Adam Vinatieri,6,3.945333333333333,1.155925193968672,1.0851311408245448,3.223111111111111,1.0,0.9658119658119658,0.7621252204585538,1.3888888888888888,1.7222222222222223,0.0,3.0842131724484667,-0.611111111111111,17.72165113795665,0.7417135709818636,18,5,-13,0.04204750777578194
Adam Vinatieri,7,3.949333333333333,1.1346252378861075,1.075956856466591,3.2555555555555555,1.0,0.9487179487179488,0.832010582010582,1.4339506172839507,1.3333333333333333,0.0,3.136877828054299,-0.5555555555555556,17.544805737086147,0.7069557362240289,17,5,-12,0.14529426102253518
Adam Vinatieri,8,3.941777777777778,1.1053286488069096,1.0838667889729527,3.2706666666666666,1.0,0.9592760180995475,0.8463403880070547,1.395679012345679,1.2777777777777777,0.0,3.1437908496732025,-0.4444444444444444,17.580059483683126,0.7545747838430765,16,4,-12,0.15393170426065167
Adam Vinatieri,9,3.9555555555555557,1.1572793148880105,1.1401103326182063,3.3453333333333335,1.0,0.9698340874811463,0.8487654320987654,1.4685185185185186,1.1111111111111112,0.0,3.111111111111111,-0.3333333333333333,17.774285463382427,0.8052910052910053,15,5,-10,0.23537105281018916
Adam Vinatieri,10,3.9440000000000004,1.161323378714683,1.1609078238729122,3.3257777777777777,1.0,0.9803921568627451,0.8083333333333333,1.4574074074074073,0.6666666666666666,0.0,2.980769230769231,-0.3333333333333333,17.15224444207142,0.708994708994709,14,4,-10,0.2828251179052883
Adam Vinatieri,11,3.9555555555555557,1.153582930756844,1.1672075534061073,3.413333333333333,1.0,0.9869281045751633,0.8581196581196582,1.5629629629629629,0.4222222222222222,0.0,2.877073906485671,-0.4444444444444444,16.95254178297307,0.588276246170983,13,4,-9,0.33763460258780736
Adam Vinatieri,12,3.939111111111111,1.0551346801346801,1.1005139128058286,3.374222222222222,1.0,0.9860566448801743,0.8717948717948718,1.3907407407407408,0.39999999999999997,0.0,2.748868778280543,-0.6111111111111112,16.25533185085906,0.4509746588693957,12,3,-9,0.311927884304515
Adam Vinatieri,13,3.944,0.9842405536849982,1.0465620606226937,3.379555555555555,1.0,0.9851851851851852,0.8905982905982907,1.226984126984127,0.9333333333333332,0.0,2.692051566635363,-0.7222222222222222,16.360288450377325,0.40400085579803163,11,4,-7,0.25625947423250656
Adam Vinatieri,14,3.912444444444444,0.8405349794238683,0.9221535065480025,3.263555555555555,1.0,0.9777777777777777,0.8153846153846155,1.0243386243386243,1.0666666666666667,0.0,2.641267537493953,-0.5555555555555556,15.908568152077953,0.3789090565324258,10,3,-7,0.17096089752268245
Adam Vinatieri,15,3.9155555555555552,0.7608024691358024,0.8575766810126706,3.2728888888888887,1.0,0.9851851851851852,0.7735042735042735,1.2253968253968255,1.3111111111111111,0.0,2.706095791001452,-0.3333333333333333,16.47478344745843,0.43648481410818335,9,2,-7,0.14674367077113074
Adam Vinatieri,16,3.908,0.711275720164609,0.7930486757729657,3.3053333333333335,1.0,0.9925925925925926,0.7388278388278389,1.4984126984126984,1.1111111111111112,0.0,2.7642718916303823,-0.2222222222222222,16.60065163962331,0.44739623901190606,8,2,-6,-0.07979882354882356
Adam Vinatieri,17,3.950222222222222,0.8237860082304527,0.8725289779060542,3.3933333333333335,1.0,1.0,0.7590964590964591,1.726984126984127,1.3611111111111112,0.0,2.848089017900339,-0.2777777777777778,17.45737347900632,0.5826244905192274,7,2,-5,-0.14236965923721462
